Author,Number of works
Gamma Orionis,633
HP Slash Luv,569
mew-tsubaki,516
alyssialui,488
Cheeky Slytherin Lass,472
Lomonaaeren,465
DobbyRocksSocks,418
MariSeverus,330
Cris Snape,327
luvscharlie,324
ChoCedric,309
Fire The Canon,308
The Bickering Kingdom,291
articcat621,287
The Werewolf Mage,285
rhead-a-holyc,263
NeonDomino,234
Liebling,232
CUtopia,231
Someone aka Me,220
Coding Gengar,219
Misila,212
Teddylonglong,207
Inkfire,206
MissingMommy,202
Lamia of the Dark,197
Griffinn,194
yellow 14,191
Diana Prallon,188
Jewel Potter e Kawa Potter,187
SiriusMarauderFan,187
HPFangirl71,186
tinylexie,185
Nochedeinvierno13-Friki,182
Ophelia Greengrass,179
Marsetta,178
Laser Lance 720,169
sellthelie,169
DolbyDigital,168
ProfessorSquirrell,166
GryffindorTom,164
RZZMG,164
A Sirius Crush On Moony,160
LovingYouAtFirstSight,159
ambudaff,159
lightblue-Nymphadora,159
Tooru Hally Beelia FrikiPotter,157
tigersilver,157
Mrs Bella Riddle,156
JailyForever,154
euphoria814,154
Screaming Faeries,152
blue artemis,151
thegoodgirldoll,151
Mein Liebling,150
JessyRiddleFriki-Black,149
Bendleshnitz,147
Eirian Lovegood,147
Love From A Muggle,147
Angel N Darkness,146
cleotheo,144
Rumour of an Alchemist,142
Lillielle,140
epiphanies,140
our dancing days,140
Victoire Black,138
starlight.moon.princess,138
Bad Mum,137
The Crownless Queen,137
Sheankelor,135
TheNextFolchart,134
Fla.Doomsday,132
whitetiger91,132
chasingafterstarlight,131
CaptainElf,128
She's a Star,128
Nea Poulain,127
Alarice Tey,124
Sable Supernova,124
Agata Ridlle,123
Morghen,122
phoenixgirl26,122
Kerichi,121
Muselina Black,121
TheLestrangeMistress,121
Ralinde,120
beMMADfabulous,120
LynstHolin,119
Miss Lefroy Fraser,119
Tonkswyrda,119
autumn midnights,117
lydiamaartin,117
reminiscent-afterthought,117
Dear Pigfarts. Love the Doctor,116
Thanfiction,116
inell13,116
AlwaysPadfoot,114
Cheryl Dyson,114
Nalnyatrix Black,114
Silver Sailor Ganymede,114
Sorcieres de la Neige,114
sydneysages,114
yoho,114
teddylupin-snape,113
Ms-Figg,111
Ayla Pascal,110
ClaireBear1982,109
Elizabeth Blossom,108
rhyejess,108
Exceeds Expectations,107
Druida,106
My Dear Professor McGonagall,106
RoseScor90,106
ThisIsOldButIWannaKeepIt,106
remuslives23,106
Holly The Sparkling Unicorn,105
Rickmanlover24601,105
xLostInTheSun,105
The Fourth Black Sister,104
percychased,104
Clenery Aingremont,103
Four Leafed Clove,103
Ida59,103
Kindred01,103
Picotti,103
lezonne,103
pottermum,103
Kailey Hamilton,102
LAB Rats,102
Mirkran,102
Story Please,102
BrokePerception,100
Lara1221,100
Paper Pearls,100
DanielaMPotter,99
FandaticForeverAndAlways,99
controlled climb,99
Dark K. Sly,98
Shadow Padawan,98
Shira Lansys,98
StoryGirl02,98
Fire Of The Stars,96
WhatWldMrsWeasleyDo,96
smilelaughread,96
NemesisFate,94
Nikki Flinn,94
opalish,94
Affy black,93
Claire-de-plume,93
Insert Clever Potter Name Here,93
PukitChan,93
mustardgirl1128,93
yamiyugi23,93
Kylara Kitsune,92
Majo Walles,92
TMBlue,92
akumaNakago,92
entlzab,92
misswhiteblack,92
Ember Nickel,91
lowi,91
star54kar,91
the lola,91
PerlaNegra,90
WeasleySeeker,90
Caz251,89
Misa Black,89
Samanta Friki Black,89
Strega Brava,89
lannistersdebt,89
Akolitka,88
OCDdegrassi,88
V.M. Bell,88
alicja21,88
Magalud,87
Rasiaa,87
SylvaDragon,87
thelilacfield,87
NJ Coffee Queen,86
0idontknow0,85
Hopeakaarme,85
Kelly Chambliss,85
bleedforyou,85
gredandforgerock,85
JacksonFrost,84
Northumbrian,84
OtterAndTerrier,84
Solstice Muse,84
Thanatos Angelos Girl,84
WeatherWatch,84
Eternally Seventeen,83
Radical.2,83
The Half Mad Muggle,83
minerva's-kitten,83
Alania Black,82
Sevi Snape,82
pommedeplume,81
Cathcer1984,80
Defying.Expectations,80
Emmeebee,80
FirstYear,80
Moonprincess92,80
Sandra Longbottom,80
Taintless,80
The Little House Scribe,80
CharlotteBlackwood,79
JuliaKerns5,79
Nokomiss,79
Rita Arabella Black,79
Roxy Scamander,79
Samael.D'Orival,79
TheRottenJas,79
remuslives,79
taraxacum.officinalis,79
AnneM.Oliver,78
Bittersweet x,78
Madea's Rage,78
Marck Evans,78
benebu,78
digthewriter,78
Aesalys,77
M'rika,77
Pantz,77
Sela McGrane,77
Lady Lanera,76
Royaltycrazy,76
SofiaBellatrixBlack,76
stars shine out,76
xoxo Sweetie,76
Babydracky,75
Bagge,75
Cecilia Black Malfoy,75
Empress Empoleon,75
Jess.91,75
gryffindormischief,75
mrs.milfoy,75
Caliadne,74
DarkRiverTempest,74
Devilzzz,74
GrandeVanillaSkimLatte,74
TrueBeliever831,74
wawwhite,74
Daelyaa,73
Invaderk,73
Svetlana Black,73
Thalia Kendall,73
The Czech Shack,73
forgetablelove,73
teshara,73
Amethyst Jackson,72
BeaumontRulz,72
FancifulRivers,72
Old Brown Shoe,72
The Original Horcrux,72
Iggity,71
Joanne Distte,71
WeasleyForMe,71
albe-chan,71
allthingsmagical,71
septentrion,71
siriusly klutzy,71
the merrinator,71
Hawkflight7,70
Lady Altair,70
RodentFace,70
Scandalacious Intentions,70
littlegirlgonemad,70
BirdG,69
Crazy4Moony,69
Dryadeh,69
F. Coulomb,69
Gwendolyn James,69
Juliet'sEmoPhase,69
Mint-Chocolate-Leaves,69
PotionMastersBitch,69
Queen of the Castle,69
serindraxx,69
silver-nightstorm,69
DebsTheSlytherinSnapefan,68
Loufoca-Granger,68
MaryRoyale,68
Midwintertears,68
Mistress Slytherin,68
Narcisa Le Fay,68
Queen Bookworm the First,68
Snapegirlkmf,68
Toshio Nagisa,68
iMissHP,68
owluvr,68
violet-phoenix-rose,68
wingnutdawn,68
Always Hopeful,67
HP-Forever-XX,67
Lady Lara Black,67
Laura Sommeils,67
Luna Rapunzel,67
Mialle Lemos,67
PKlovesDW,67
Realmer06,67
Schermionie,67
Sorg-Esp,67
The Half-Blood Princesss,67
TheSummerNightingale,67
Zayz,67
imdeadsothere,67
Anka7995,66
Aruquita,66
Couture Girl,66
Lucillia,66
Mary West,66
MuggleBeene,66
RebeccaRoy,66
Smithback,66
chibilele,66
la.fille.en.bleu,66
redcandle,66
yeaka,66
Anastasia The Goddess of Drama,65
Bohemian Storm,65
Estrella de la Tarde1,65
Genevieve Black,65
Lih Helsing,65
MrsCatherineWinter,65
Neyade,65
RosalindAnnaBorelli,65
Silver Sparklze,65
Spica M,65
Tomo Potter,65
accioweasleys4,65
corvusdraconis,65
protejerinnocencia,65
Aurora Caelestis Friki,64
Azulz Friki,64
Christina-Potter-09,64
CommanderCatbug,64
FireAtWill52,64
Keppiehed,64
Lady Eleanor Boleyn,64
Miss De Lune,64
My Sharpie Is Green,64
Nathiiita-DH,64
NeverBeenDarkMarked,64
Ophelia Joane,64
TheodoreIsNott,64
boshrocks,64
broomstick flyer,64
firefly81,64
folie a plusieurs,64
mspolapotter,64
Abigail-Nicole,63
Alexannah,63
Angelina Fenwick,63
Doomina,63
Faramirlover,63
Grytherin18-Friki,63
Laurielove,63
Para Nao Deletar,63
Suki-Alanna,63
Vampisandi,63
WithDemonWings,63
akmdreamer,63
arashi wolf princess,63
opaque-girl,63
sjt1988,63
slightlysmall,63
worrywart,63
Blackwolflegend,62
Hades'Queen,62
Jente Bidernais,62
Laurenke1,62
MairiNathaira,62
Memories Left Abandoned,62
MissAllieMae,62
Mr Bellatrix Lestrange,62
Savva,62
SweetDeamon,62
The Treacle Tart,62
attlantica,62
fictionalcandie,62
mrscakeakajane,62
notsoinnocentfangirl,62
x-greeneyesy-x,62
Chucky Ray,61
Debs1990,61
Eight Horcrux,61
JustDanny,61
Keikokin,61
Kristy SR,61
Loony-1995,61
howlsatthemoon,61
snarkysweetness,61
yourstrulydani,61
AnnaOz,60
Dramione84,60
Fanny Friki-Taka,60
Flor-LupinSparrow,60
Little.Miss.Xanda,60
MollyWeasleyObsessed,60
Romantic Silence,60
Ruby P. Black,60
The Carnivorous Muffin,60
cupid-painted-blind,60
padfoot's prose,60
singingofgallifrey,60
skrewtkeeper,60
whispered touches,60
FanofBellaandEdward,59
Flair Verona the Slytherin Queen,59
Guadi-Fic's,59
Lady Cisne,59
Lorelei Lee,59
MeriAnne Black,59
MrsTater,59
Nnoitra-Szayel,59
Sinical-Sarchasm,59
diva.gonzo,59
eprime,59
lordhellebore,59
partofforever,59
picascribit,59
whydoyouneedtoknow,59
Alcoholic Semen Thrower,58
Dinou,58
Josephine Stone,58
Lady Feylene,58
Leigh Adams15,58
Noir Lime Canuto,58
edwinguerrave,58
flyin'rabbit,58
genies,58
jennygiraffadil,58
Camille-Miko,57
Dione Kurmaier,57
Dramione Forever,57
Hydrochloric Cutie,57
Lise Steiner,57
Lizzy3,57
Mary J.Anna,57
Mazzola Jackson Snape,57
Meg-Of-The-Moon,57
QueenStrata,57
SeKaYa,57
The Atomic Cafe,57
drcjsnider,57
icefire-lioness,57
paranoidkitten,57
sarahyyy,57
Helena Dax,56
M.Cherry,56
Pearl Parkinson,56
SilverOwlMalfoy,56
Tempted Sacrifice,56
Tete93,56
TreacleTart301,56
aposentada,56
donalddeutsch,56
hermoine snape,56
kci47,56
Deadly Poppy,55
FatesMistake,55
Horus.Potter,55
Just LeakyCauldron,55
Mandy of the Amoeba,55
MrsDarfoy,55
Rosa Clearwater,55
Rose of the West,55
Rute Riddle,55
Sprout2012,55
TLX,55
Victory87,55
aconsultingwizard,55
ceirdwenfc,55
erbkaiser,55
halffictionalprincess,55
ladyoftheknightley,55
Cuban Sombrero Gal,54
Jes Cullen-Malfoy,54
Kira Gmork,54
Lady Bracknell,54
MelodyPond77,54
Netrixie,54
Rapidez,54
Sylvestris,54
The Steppy One,54
Watashinomori,54
Will.Hell.Minna.-Sophia Isobel,54
fuzzyalligator,54
isaacswolfsbane,54
msllamalover,54
xXAmortentiaXx,54
2Padfoot00Moony7,53
Adigium21,53
Bicho Raro,53
Bil,53
HalfASlug,53
HoodedSpellcaster,53
Kyria of Delphi,53
Laume,53
Limitbreaker,53
Loca Demierda,53
MajinSakuko,53
Mycroft-mione,53
OSUSprinks,53
Pink Potter,53
Silvers Astoria Malfoy,53
Slytherin Buttercat,53
TangerineFields,53
dem bones,53
miraleeann,53
Dana Norram,52
Dear Aunt Elladora,52
DeliciousNewYork,52
ElfFlame,52
Jack of the North,52
KawaiiTenshi27,52
Krispy-Sly,52
Livia57adC,52
LuxaLucifer,52
Maia May,52
Moony J4M,52
Nimbus 1944,52
Paladium,52
Pam Weasley,52
RonaldAndMione,52
Summer Leigh Wind,52
ToManyLetters,52
Violet Scarlet Lily,52
conjurewithrisk,52
granger2malfoy,52
idreamofdraco,52
kingslayers,52
kissables333,52
mambanoir,52
queen-sheep,52
spidergirl1,52
Angie Friki Black,51
Appointment,51
Arya Fantasma,51
Ava Miranda Dakedavra,51
Bramblerose4,51
BuzzCat,51
Hogwarts Duo,51
Infelix,51
Ireth Hollow,51
Katria Bloom,51
Lily MJ Fae,51
LuminaCarina,51
Marinuqui,51
N. Black - blackie,51
NRC,51
Nightmare Prince,51
Potter47,51
Semblance of Sanity,51
Soccerisawesome19,51
The Lady Arturia,51
UnseenLibrarian,51
V. S. Alucard,51
WizMonCruWil,51
WolfWinks,51
alana chantelune,51
always-a-hp-girl,51
cherryredxx,51
fanta-faerie,51
hpgirl4ever,51
l0stinl0ve,51
maggalina,51
sopaltenbass,51
wishingonlightning,51
Adriana Swan,50
BajaB,50
BlueEyes444,50
Chrys-DASL,50
ConstantComment,50
Crislu,50
DragonGrin - former TeenTypist,50
FlashFiction,50
Honey G,50
IndigoNightandRayneStorm,50
Kali Cephirot,50
Lilly flower forever,50
Lissy Stage,50
Lokifan,50
Nanaho-Hime,50
Nigelcat1,50
Orgullo Verde y Plata,50
SKINNYxLOVE,50
Thaly Black,50
Vallolet Holmes de Phelps,50
amor-remanet,50
chocolatecheesecakes,50
imSiriuslyLupin4you,50
jennifer snape,50
lunaldeserdaigle,50
respitechristopher,50
romanticidiot,50
ryanzraindrop,50
shadowycat,50
something-like-love,50
xXYouXAreXMyXHerioneXx,50
APhoenixRising,49
Adventure-Seeking-Juliet,49
Alicia Mirza,49
BertaS,49
Brilliant Hermione,49
Claude Amelia Song,49
Eanna Elendil,49
Harpygirl24,49
JJ Rust,49
KeepsAwayTheNargles,49
MPPMaraudergirl,49
Mac-alicious,49
OCD ADD Goldfish,49
Padfoot Reincarnated,49
Paris in December,49
SeulWolfe,49
Victoria Muinesva,49
Zagury,49
arctique48,49
breeutiful,49
dark Rachel,49
disillusionist9,49
dreamwriter32,49
emily.down,49
erm31323,49
just giddy,49
miarae,49
omnomnivore,49
starfishstar,49
thehalfbloodprincess,49
victoriacole,49
Aurora West,48
Casteline,48
Digitallace,48
Escristora,48
Gouline971,48
HermioneGrangerTwin,48
Holz9364,48
Jenny Anderson,48
KJmom,48
Lady Remus 1983,48
LadyBelz,48
LinZE,48
LiterarySpell,48
Little V,48
Mari Grem,48
NERC,48
