ID	Title	Author	Summary	Rating	Language	Genre	Chapters	Words	Reviews	Favorites	Follows	Characters	Complete	Updated (UTC)	Published (UTC)	URL
13088206	The Son of Lord Voldemort	shiroin	Original Story by Shopaholic1369 Voldemort tidak pernah membunuh Harry, dia malah membunuh orang tuanya dan menculik Harry untuk mengangkat sebagai anaknya untuk melawan Dumbledore dan Cahaya. Dark/Slytherin Harry.	T	Indonesian	Friendship/Family	1	2260	2	10	9	Harry P., Draco M., Tom R. Jr., Voldemort	False	 	1539067779	https//www.fanfiction.net/s
13088196	Some Needed Advice	MissBookworm1704	When Angelina finds out she was selected as Quidditch Captain, she turns to the only person she knows that can help her for advice: Oliver Wood. For THC and MC4A	K	English	Friendship	1	1277	1	1	0	Oliver W., Angelina J.	True	 	1539066755	https//www.fanfiction.net/s
13088178	Impasse	riabarro05	The reign of blood. He thirsts. She quenches. (Tomione. Vampire AU. M for future chapters)	M	English	 	1	660	1	4	9	Hermione G., Tom R. Jr.	False	 	1539064805	https//www.fanfiction.net/s
13088169	To catch a thief	slythadri	EWE, OOC. Pansy Parkinson is having a lousy day. First, she got robbed and now she got arrested. All because of that nightmare, Auror Potter. Or is he actually a dream? Rated M for explicit sexual situations and language. Hansy, Dramione.	M	English	Romance/Humor	2	4774	2	18	18	[Harry P., Pansy P.] [Draco M., Hermione G.]	False	1539206232	1539063361	https//www.fanfiction.net/s
13088167	Vocabulary Lessons	TLost	Malfoy introduced many words into Hermione's vocabulary. It wasn't that she didn't know what these words meant. It wasn't that she hadn't heard them before. It was that the words had no particular meaning to *her* before he had added meaning to them.	M	English	Romance	1	3371	4	10	33	Hermione G., Draco M.	False	 	1539063265	https//www.fanfiction.net/s
13088166	Wallflower	MurderComplication	Lila was not one to make a scene, she preferred standing in the background while others sought adventure. No one noticed her, save for one blonde and blue eyed boy who insisted at being the center of attention, and taking down her potential new friends.	T	English	Drama/Adventure	1	828	0	0	1	Published: 	False	 	1539062931	https//www.fanfiction.net/s
13088160	Potter, That Was Very Gallant Of You	Right What Is Wrong	One wand and two syllables make all the difference in the world. (Oneshot.)	T	English	 	1	826	9	18	3	James P., Voldemort	True	 	1539062645	https//www.fanfiction.net/s
13088150	Hidden in the Grass	eladrinwizard1	Due to a fortunate accident, Harry is separated from the Dursleys a couple years earlier than planned. The catch? He's separated from the rest of civilization as well. HP/DG, Slytherin!Harry	T	English	Romance/Tragedy	2	3803	4	46	107	[Harry P., Daphne G.] Sirius B., Astoria G.	False	 	1539061756	https//www.fanfiction.net/s
13088147	For the Love of the Game	brokenbottleaurora	"Stories written for games or competitions that I don't want to post as stand alone one-shots. Because even if the writing stinks, ""The game doesn't stink, Mr. Wheeler. It's a great game."""	T	English	 	4	3258	0	0	0	Published: 	False	 	1539061316	https//www.fanfiction.net/s
13088141	The Portrait Gallery	Theoretical-Optimist	Fred discovers the reason that Dumbledore had all of the members of the Order of the Phoenix pose for portraits. Written for Round 7 of THC (year three)	T	English	Drama/Hurt/Comfort	1	1612	1	5	4	James P., Lily Evans P., Albus D., Fred W.	True	 	1539060734	https//www.fanfiction.net/s
13088113	Rising	TheCheerfulPessimist	Harry Potter, betrayed by everyone, left in Azkaban. What will he do when Voldemort arrives? Really bad at summaries. Please R&R! Powerful! Harry. I don't own anything	T	English	Angst/Drama	3	2863	9	9	25	Published: 	False	1539145621	1539058405	https//www.fanfiction.net/s
13088102	Redemption	ritsuka10	Hermione es rescatada por el personaje menos pensado, con el cual debe pasar unos días juntos y logra descubrir que no un villano no es tan malvado como lo pintan. DRAMIONE Disclaimer: Los personajes pertenecen JK Rowling.	K+	Spanish	Romance/Drama	1	1890	3	7	11	Hermione G., Draco M.	False	 	1539057815	https//www.fanfiction.net/s
13088085	Pulling Pigtails	Theoretical-Optimist	Victoire and Teddy get into a fight at preschool, and the fallout is painful and confusing. Written for Round 7 of THC (year three)	K+	English	Drama	1	1283	0	2	0	Fleur D., Bill W., Teddy L., Victoire W.	True	 	1539056736	https//www.fanfiction.net/s
13088081	The First Kiss	H.R.E.R	She liked many odd, bizarre and unbelievable things. He simply liked her.	K+	English	Romance/Friendship	1	1062	1	1	1	George W., Luna L.	False	 	1539056393	https//www.fanfiction.net/s
13088061	Feliz navidad	Anelem	Porque la magia de navidad es real y el deseo de un niño huérfano bien puede realizarse. Papá Noel es generoso.	K	Spanish	Family/Hurt/Comfort	1	201	0	0	0	Published: 	True	 	1539055414	https//www.fanfiction.net/s
13088049	Second Chances Reality: Old Spirits Die Hard	BlueRowley	The small piece of Harry Potter's soul struggles to become one with four-year-old Harry Snape after their unification, while young Sam, Harry's future familiar, cannot resist the urge to steal. Requested by a guest reviewer. A one-shot in the Second Chances Reality series.	K+	English	 	1	8695	6	6	3	Harry P., Severus S.	True	 	1539054903	https//www.fanfiction.net/s
13088044	Black & White	Alisha7824	She meant the world to him the moment he pulled her from the river. . . . I personally believe there isn't enough 'Harry finds/adopts a baby' stories out there, so I decided to write one!	M	English	Hurt/Comfort/Adventure	2	6340	3	17	24	Harry P., OC, Bill W., Charlie W.	False	 	1539054650	https//www.fanfiction.net/s
13088032	The Answers One Seeks, The Path One Takes	The L. MMonster	Stefani is a healthy, happy little girl, until, on a dark night, a tragic occurrence changes her life forever. As she discovers she is a witch and navigates the brand new word of magic, secrets and memories come to the surface, forcing choices on her that might have the highest prices. One unlikely man helps her chart those murky waters. This is her story.	M	English	Drama/Romance	3	10212	4	4	6	Severus S., OC	False	1539224031	1539054286	https//www.fanfiction.net/s
13088015	Don't Mess with Love	BillWeasleyfan219610	Jewls Juniper is 15 years old and taken everywhere by the Weasleys and is to marry one. But it's with the guy she loves. Follow her as the Weasleys reopen her heart and learn what's been in this young girl's life. VOLDEMORT NEVER EXISTED IN THIS AND IMMORTALITY WILL BE A THING AFTER A WHILE IN POTION FORM	T	English	Family/Romance	4	5046	0	2	3	[Bill W., OC] [Charlie W., Harry P.]	False	 	1539053460	https//www.fanfiction.net/s
13088007	Thunder Follows the Lightning Flash - 2001	PrincessElizabethSwanJones	Three years after the Battle of Hogwarts, the big three have moved on with their lives. That being said, even though Voldemort is gone everyone is still following their same habit. And sometimes people get hurt. The first part in a series of short stories, most will be 3 chapters. Some angst, but also some great fluff. Ron/Hermione and Harry/Ginny, mostly canon compliant.	K	English	Family/Hurt/Comfort	1	2867	3	2	4	Published: 	False	 	1539052788	https//www.fanfiction.net/s
13087991	Flores de cerezo	Anelem	Hermione Granger, decide comenzar una vida nueva y ¿qué mejor forma de conocerte que disfrutando tu soledad?	K	Spanish	Hurt/Comfort	1	210	0	0	0	Published: 	True	 	1539051735	https//www.fanfiction.net/s
13087969	Marauders Erised	emikaa	(Two-shots) Twenty years before Harry and Ron, the Marauders, themselves, stumbled upon the Mirror of Erised- twice in fact. What did Sirius, James, Remus, and Peter see, and how did it change nearly ten years into their own future?	K+	English	Hurt/Comfort/Friendship	1	988	2	2	3	Sirius B., Remus L., James P., Peter P.	False	 	1539050057	https//www.fanfiction.net/s
13087951	Harry Potter Is Mad Right?	2DaughtersOfAthena	Cornelius Fudge dealing with the year of the Order of the Phoenix.	T	English	Angst	1	1958	0	0	1	Published: 	False	 	1539048857	https//www.fanfiction.net/s
13087933	Vestida de novia	ImHollyBlue	Summary: Pansy quiere sorprender a su ahora esposo de una manera inesperada. [Fictober, Dia 3]	K	Spanish	Romance/Friendship	1	805	2	7	3	Harry P., Hermione G., Pansy P.	True	 	1539047516	https//www.fanfiction.net/s
13087928	Fuck You, James Potter	2DaughtersOfAthena	Sirius and James have an argument. But it is so much more than that. A story of love, friendship, and fury.	T	English	Drama/Angst	1	965	1	3	2	Sirius B., James P.	True	 	1539047329	https//www.fanfiction.net/s
13087924	If Harry had a twin	alyssagagne	What if Harry Potter had a twin sister named April? A look into some of the events of the first novel and how they would be different if Harry was a twin	K	English	 	1	2197	0	0	0	Published: 	True	 	1539047128	https//www.fanfiction.net/s
13087911	Amycus's Broken Heart	DarylDixon'sgirl1985	Amycus Carrow comes up with what he thinks is fool proof plan to get Severus Snape to be his boyfriend. Will it work out for him? Or will it leave him heart broken? Written for both October Writing Club's Count Your Buttons, and Halloween Bingo on Hogwarts School of Witchcraft and Wizardry. Unrequited Amycus/Severus on Amycus's side.	T	English	Romance/Drama	1	573	0	0	0	[Amycus C., Severus S.]	True	 	1539045865	https//www.fanfiction.net/s
13087862	How Gryffindor Got His Hat?	DarylDixon'sgirl1985	Salazar buys Gdoric a special hat to symbalize his love for the other boy. Although Gryffindor doesn't know about Slytherins feelings. Written for both October Writing Club's Count Your Buttons, and Halloween Bingo on Hogwarts School of Witchcraft and Wizardry. Unrequited Gryffnidor/Slytherin love going on.	T	English	 	1	441	0	0	0	[Godric G., Salazar S.]	False	 	1539042505	https//www.fanfiction.net/s
13087850	Give me a sign	Captain Voxland	AU: set in the Marauders era. in the summer before their sixth year. Remus gets shot with a silver bullet. but who did it? read and find out. I hate Wormtail so a lot of Wormtail bashing. no slash. {warning some blood}	M	English	Drama/Friendship	4	8944	0	2	1	Marauders, Lyall L., Hope L.	True	1539650062	1539042040	https//www.fanfiction.net/s
13087837	For a long run	mcepl	Everybody should use all opportunity to learn something new. Apparently, Draco has a lucky day today! (Written in the universe of The Accidental Animagus by White Squirrel)	K+	English	Fantasy/Adventure	1	1416	0	1	0	Harry P., Draco M.	True	 	1539040997	https//www.fanfiction.net/s
